,flight_number,origin_station_code,destination_station_code,scheduled_departure_date,arrival_delay_group,departure_delay_group,entity,verbatim_text,seat_factor_band,ques_verbatim_text,loyalty_program_level,fleet_type_description,fleet_usage,response_group,sentiments,transformed_text
49,2629,PHX,IAX,2022-09-06,Early & Ontime,Early & Ontime,Domestic,Please add a diet caffeine free soda such as Sprite Zero or diet ginger ale. We had breakfast as we were in business. The breakfast was great!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member,Neutral,pleas add diet caffein free soda sprite zero diet ginger ale breakfast busi breakfast great
50,871,SYX,SFX,2022-09-06,Early & Ontime,Delayed,Pacific,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-300,Mainline,non-member,Neutral,
51,617,ORX,DCX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,Why do not you offer any free snacks?.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,A320-200,Mainline,member,Neutral,offer free snack
52,532,ANX,ORX,2022-09-05,Early & Ontime,Delayed,Domestic,Coffee was served very hot…a nice surprise.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX9,Mainline,member,Neutral,coffe serv nice surpris
53,84,DEX,EWX,2022-09-06,Early & Ontime,Early & Ontime,Atlantic,I think In long 16 hour flight the vegetarian menu should be more elaborate.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B787-9,Mainline,non-member,Neutral,think long 16 hour flight vegetarian menu elabor
54,427,SLX,EWX,2022-09-06,Delayed,Delayed,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member,Neutral,
55,1034,PTX,IAX,2022-09-06,Early & Ontime,Early & Ontime,Latin,Staff very attentive.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member,Neutral,staff attent
56,48,FRX,IAX,2022-09-07,Early & Ontime,Delayed,Atlantic,Bring back the Continental Ice Cream service please!!!!!.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,global services,B777-200,Mainline,member,Neutral,bring back continent ice cream servic pleas
57,1546,DEX,LGX,2022-09-07,Delayed,Delayed,Domestic,The flight attendant was hard working and friendly!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member,Neutral,flight attend hard work friendli
58,1181,SAX,DEX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,nothing more.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member,Neutral,noth
59,2104,PDX,ORX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,The food was too spicy.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,A319-100,Mainline,member,Neutral,food spici
60,936,LHX,LAX,2022-09-07,Delayed,Early & Ontime,Atlantic,Offering a whole piece of fruit would have been nice.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-9,Mainline,member,Negative,offer whole piec fruit would nice
61,1790,TPX,LAX,2022-09-07,Early & Ontime,Delayed,Domestic,should give out bottles of water vs cups on a long flight.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,A320-200,Mainline,member,Neutral,give bottl water vs cup long flight
62,2147,LAX,DEX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,All complimentary items must be given to everyone without asking the passengers.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,complimentari item must given everyon without ask passeng
63,2308,DEX,LIX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,Great.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B757-200,Mainline,member,Neutral,great
64,4386,MHX,EWX,2022-09-07,Delayed,Delayed,Domestic,Could use a bit of freshening up the food selection in First Class.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,CRJ-550,Express,member,Neutral,could use bit freshen food select first class
65,5360,JAX,DEX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,"Loved the flavored Aha sparkling water. Thank you!. Since you took peanuts away, a gluten free pretzel or option would be amazing.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,ERJ-175,Express,member,Neutral,love flavor aha sparkl water thank sinc took peanut away gluten free pretzel option would amaz
66,390,EWX,DEX,2022-09-08,Delayed,Delayed,Domestic,"Tje Brioche cheeseburger is really good, but ketchup and mustard should also be provided.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,tje brioch cheeseburg realli good ketchup mustard also provid
67,5512,OMX,DEX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,There we are nö snacks Like Chips/pretzels.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,CRJ-200,Express,member,Neutral,nö snack like
68,864,SFX,SYX,2022-09-07,Early & Ontime,Delayed,Pacific,"We were fine in business our kids that had flown you business over with us and we could only get premium economy back could get even a glass of water and not one meal of choice that was selected was received and yet they watched the meal they had choice, be handed out all through economy. So they paid more for less service.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-300,Mainline,non-member,Neutral,fine busi kid flown busi us could get premium economi back could get even glass water one meal choic select receiv yet watch meal choic hand economi paid less servic
69,1878,IAX,LAX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,Nothing else because I am ok with water.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B777-200,Mainline,member,Neutral,noth els ok water
70,1878,IAX,LAX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,I would like to have a change in the menu if possible. I have had the chicken and meatballs many times now.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member,Neutral,would like chang menu possibl chicken meatbal mani time
71,5477,LIX,DEX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,your snacks only cater to the general public. How about have at least one item cater to customer with diabetes.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,ERJ-175,Express,member,Neutral,snack cater gener public least one item cater custom diabet
72,5338,TUX,IAX,2022-09-08,Delayed,Early & Ontime,Domestic,I had my own water because I do not like the taste of Dasiana. The size portion is really so small for the price of our tickets.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,ERJ-175,Express,member,Neutral,water like tast dasiana size portion realli small price ticket
73,83,EWX,DEX,2022-09-09,Early & Ontime,Delayed,Atlantic,A wine list for business class is somewhat expected. We did not get that on this flight.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B787-9,Mainline,member,Neutral,wine list busi class somewhat expect get flight
74,2676,IAX,LAX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,Coffee was good.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,coffe good
75,1631,SEX,DEX,2022-09-09,Early & Ontime,Early & Ontime,Domestic,The meals aim to be creative but I prefer more traditional meals.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,global services,B737-900,Mainline,member,Neutral,meal aim creativ prefer tradit meal
76,1729,SFX,CLX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,Better Scotch selection.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,better scotch select
77,5351,SDX,IAX,2022-09-07,Delayed,Delayed,Domestic,At least this flight provided pretzels. The one to Louisville did not offer anything but a drink.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-175,Express,non-member,Neutral,least flight provid pretzel one louisvil offer anyth drink
78,406,DEX,CLX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,Very tasty. Nice portion.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member,Neutral,tasti nice portion
79,1033,EWX,TPX,2022-09-10,Early & Ontime,Delayed,Domestic,It pleases me tremendously that United has added sparkling wine to its beverage list.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-800,Mainline,member,Neutral,pleas tremend unit ad sparkl wine beverag list
80,1033,EWX,TPX,2022-09-10,Early & Ontime,Delayed,Domestic,"It was the only time I saw a flight attendant, that is good.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,time saw flight attend good
81,1033,EWX,TPX,2022-09-10,Early & Ontime,Delayed,Domestic,No.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-800,Mainline,member,Neutral,
82,2054,IAX,DEX,2022-09-09,Delayed,Early & Ontime,Domestic,Please provide healthier snack options - sugar and gluten free on the airplane and in the club.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-800,Mainline,member,Neutral,pleas provid healthier snack option sugar gluten free airplan club
83,989,FRX,IAX,2022-09-10,Early & Ontime,Delayed,Atlantic,The only beers available were Ultra Lite and Stella Artois. There should be at least one more option.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-300,Mainline,member,Neutral,beer avail ultra lite stella artoi least one option
84,989,FRX,IAX,2022-09-10,Early & Ontime,Delayed,Atlantic,The arrival snack which was a cheeseburger was a little dry and tough. Main course meal was good.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B777-300,Mainline,member,Neutral,arriv snack cheeseburg littl dri tough main cours meal good
85,992,BCX,IAX,2022-09-10,Early & Ontime,Early & Ontime,Atlantic,"I just wish I could you le get more yummy desserts!. I wanted the ice cream. I am vegetarian, not vegan. And the sandwich for the second meal was very boring: bread, cucumber and tomato. No taste at all <😊>.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B767-400,Mainline,non-member,Neutral,wish could le get yummi dessert want ice cream vegetarian vegan sandwich second meal bore bread cucumb tomato tast
86,202,HNX,GUX,2022-09-10,Early & Ontime,Early & Ontime,Pacific,Need to change the menu. The food was not to appetizing.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B777-300,Mainline,member,Neutral,need chang menu food appet
87,925,IAX,LHX,2022-09-10,Delayed,Early & Ontime,Atlantic,Breakfast was very small.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B767-300,Mainline,non-member,Neutral,breakfast small
88,1141,IAX,TPX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,No.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,
89,683,EWX,SFX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,More options.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B777-300,Mainline,member,Neutral,option
90,339,BTX,IAX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,first class and there are no snack boxes available ?. Come on!. Give us a box please.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,A320-200,Mainline,member,Neutral,first class snack box avail come give us box pleas
91,934,FRX,IAX,2022-09-10,Delayed,Delayed,Atlantic,"Loved my gluten-free meal option, but there are no gluten free snacks available. Miss having a gluten-free nut option. ( husband ate my Biscoff).",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member,Neutral,love meal option gluten free snack avail miss nut option husband ate biscoff
92,934,FRX,IAX,2022-09-10,Delayed,Delayed,Atlantic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member,Neutral,
93,712,EWX,FLX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,No.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member,Neutral,
94,57,CDX,EWX,2022-09-11,Early & Ontime,Delayed,Atlantic,I would just like to be reimbursed for the extra expense of buying new connecting tickets on to Sardinia.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-300,Mainline,member,Neutral,would like reimburs extra expens buy new connect ticket sardinia
95,57,CDX,EWX,2022-09-11,Early & Ontime,Delayed,Atlantic,Pleasantly surprised by the quality and diversity of choices.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B777-300,Mainline,member,Neutral,pleasantli surpris qualiti divers choic
96,83,EWX,DEX,2022-09-11,Delayed,Early & Ontime,Atlantic,You need some non indian options also. Not everyone wants indian food especially when you are headed there for a two week business trip and all you will be eating is indian food. Please give us some other options for dinner and breakfast.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B787-9,Mainline,member,Neutral,need non indian option also everyon want indian food especi head two week busi trip eat indian food pleas give us option dinner breakfast
